contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid
SPY260821C00650000,2026-07-07 15:45:38+00:00,650.0,101.6,101.64,102.75,-5.050003,-4.7351174,5.0,670,0.3238287832641601,True,REGULAR,USD,102.195
SPY260821C00651000,2026-06-11 17:29:25+00:00,651.0,89.64,99.87,103.31,0.0,0.0,1.0,15,0.3524845025634765,True,REGULAR,USD,101.59
SPY260821C00652000,2026-06-25 19:19:04+00:00,652.0,88.51,98.8,102.51,0.0,0.0,1.0,14,0.35346105529785155,True,REGULAR,USD,100.655
SPY260821C00653000,2026-06-25 16:48:00+00:00,653.0,87.95,97.65,101.54,0.0,0.0,,2,0.35123329437255857,True,REGULAR,USD,99.595
SPY260821C00654000,2026-06-05 19:52:39+00:00,654.0,94.36,96.91,99.95,0.0,0.0,13.0,13,0.33740896972656254,True,REGULAR,USD,98.43
SPY260821C00655000,2026-07-07 13:53:49+00:00,655.0,99.24,96.16,98.02,4.5899963,4.8494415,1.0,327,0.31641308593749995,True,REGULAR,USD,97.09
SPY260821C00656000,2026-06-25 19:00:07+00:00,656.0,86.16,94.74,98.63,0.0,0.0,2.0,12,0.3445194943237304,True,REGULAR,USD,96.685
SPY260821C00657000,2026-06-25 18:50:04+00:00,657.0,85.26,93.4,97.05,0.0,0.0,22.0,35,0.33112241149902344,True,REGULAR,USD,95.225
SPY260821C00658000,2026-07-07 15:42:29+00:00,658.0,93.05,93.26,95.79,10.120003,12.203066,2.0,33,0.32349309326171866,True,REGULAR,USD,94.525
SPY260821C00659000,2026-06-25 19:20:03+00:00,659.0,82.31,91.91,95.12,0.0,0.0,16.0,17,0.32691102783203124,True,REGULAR,USD,93.515
SPY260821C00660000,2026-07-06 17:17:30+00:00,660.0,96.47,91.04,93.3,0.0,0.0,12.0,539,0.3087227331542969,True,REGULAR,USD,92.17
SPY260821C00661000,2026-06-12 16:34:22+00:00,661.0,87.96,89.98,93.19,0.0,0.0,1.0,2,0.32269964416503893,True,REGULAR,USD,91.58500000000001
SPY260821C00662000,2026-06-25 14:24:53+00:00,662.0,82.08,88.98,92.21,0.0,0.0,1.0,27,0.32031929687499994,True,REGULAR,USD,90.595
